Name,NPC Name,Size,Type,Tags/Lair,Alignment,Environment,Challenge,XP,Source,Page,Reference,SRD,Description
Owl,,Tiny,Beast,,Unaligned,"Arctic, Forest",0,10,MM,333,MM333,,"Fluffy, hooty birds."
Quipper,,Tiny,Beast,,Unaligned,Underwater,0,10,MM,335,MM335,,"Carnivorous, razor-toothed fish."
Rat,,Tiny,Beast,,Unaligned,"Swamp, Urban",0,10,MM,335,MM335,,"Long-tailed rodent, often filthy and disease-spreading."
Raven,,Tiny,Beast,,Unaligned,"Hills, Swamp, Urban",0,10,MM,335,MM335,,"Large, black birds known for their intelligence."
Scorpion,,Tiny,Beast,,Unaligned,Desert,0,10,MM,337,MM337,,Poison-tailed crustacean-like spider thingy.
Sea Horse,,Tiny,Beast,,Unaligned,Underwater,0,0,MM,337,MM337,,"Curve-tailed, horse-looking fish."
Shrieker,,Medium,Plant,,Unaligned,Underdark,0,10,MM,138,MM138,Y,Purple toadstool that emits a piercing scream.
Spider,,Tiny,Beast,,Unaligned,"Desert, Forest, Swamp, Underdark, Urban",0,10,MM,337,MM337,,Eight legged crawly freak.
Tressym,,Tiny,Beast,,Chaotic Neutral,,0,10,SKT,242,SKT242,,"Smart, winged cats."
Vulture,,Medium,Beast,,Unaligned,"Desert, Grassland, Hills",0,10,MM,339,MM339,,Big carrion bird.
Weasel,,Tiny,Beast,,Unaligned,"Forest, Grassland, Hills",0,10,MM,340,MM340,,"Long-bodied, squirmy rodent."
Astral Moth,,Large,Monstrosity,,Varies,Any,0.125,25,FEF,18,FEF18,,
Blood Hawk,,Small,Beast,,Unaligned,"Arctic, Coastal, Forest, Grassland, Hills, Mountain",0.125,25,MM,319,MM319,,"Dagger-beaked, red-feathered aggressive bird of prey."
Boggle,,Small,Fey,,Chaotic Neutral,"Forest, Hills, Underdark, Urban",0.125,25,VGM,128,VGM128,,
Bridesmaid of Zuggtmoy,,Medium,Plant,,Chaotic Evil,Underdark,0.125,25,OOTA,230,OOTA230,,
Camel,,Large,Beast,,Unaligned,Desert,0.125,25,MM,320,MM320,,"Hump-backed, ornery desert horse."
Cikavak,,Tiny,Beast,,Neutral,Any,0.125,25,TOB,58,TOB58,Y,
Dolphin,,Medium,Beast,,Unaligned,"Coastal, Underwater",0.125,25,VGM,208,VGM208,,
Drow Spore Servant,,Medium,Plant,,Unaligned,Underdark,0.125,25,OOTA,229,OOTA229,,
Flumph,,Small,Aberration,,Lawful Good,Underdark,0.125,25,MM,135,MM135,,Psychic symbiotes that look like floating jellyfish.
Flying Snake,,Tiny,Beast,,Unaligned,"Desert, Forest, Grassland, Urban",0.125,25,MM,322,MM322,,"Brightly colored, winged serpent."
Giant Crab,,Medium,Beast,,Unaligned,Coastal,0.125,25,MM,324,MM324,,Giant version of a crab.
Giant Rat,,Small,Beast,,Unaligned,"Forest, Swamp, Underdark, Urban",0.125,25,MM,327,MM327,,Giant version of a rat.
Giant Weasel,,Medium,Beast,,Unaligned,"Forest, Grassland, Hills",0.125,25,MM,329,MM329,,Giant version of a weasel.
Kobold,,Small,Humanoid,kobold,Lawful Evil,"Arctic, Coastal, Desert, Forest, Hills, Mountain, Swamp, Underdark, Urban",0.125,25,MM,195,MM195,Y,"Short, cunning reptile folk that revere dragons."
Manes,,Small,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),0.125,25,MM,60,MM60,,Three foot tall bloated demon.
Mastiff,,Medium,Beast,,Unaligned,"Forest, Hills, Urban",0.125,25,MM,332,MM332,,"Large, loyal hounds trained for guarding, hunting, and even as mounts for halflings."
Merfolk,,Medium,Humanoid,merfolk,Neutral,"Coastal, Underwater",0.125,25,MM,218,MM218,Y,Aquatic humans with a fish tail in place of their legs.
Monodrone,,Medium,Construct,,Lawful Neutral,Extraplanar (Mechanus),0.125,25,MM,224,MM224,,"Metal ball with a single eye, spindly legs and flightless wings."
Mule,,Medium,Beast,,Unaligned,"Desert, Hills, Urban",0.125,25,MM,333,MM333,,Cross between a horse and a donkey.
Neogi Hatchling,,Tiny,Aberration,,Lawful Evil,"Hills, Underdark",0.125,25,VGM,179,VGM179,,
Poisonous Snake,,Tiny,Beast,,Unaligned,"Coastal, Desert, Forest, Grassland, Hills, Swamp",0.125,25,MM,334,MM334,,Slithery reptile with a poisoned bite.
Pony,,Medium,Beast,,Unaligned,Urban,0.125,25,MM,335,MM335,,Small horse.
Shroud,,Medium,Undead,,Neutral Evil,Any,0.125,25,TOB,348,TOB348,Y,
Slaad Tadpole,,Tiny,Aberration,,Chaotic Neutral,Extraplanar (Limbo),0.125,25,MM,276,MM276,,Larval slaad resembling a fanged frog's head on a finned tail.
Sluagh,,Tiny,Fey,,Chaotic Evil,Any,0.125,25,TOB,375,TOB375,Y,
Stirge,,Tiny,Beast,,Unaligned,"Coastal, Desert, Forest, Grassland, Hills, Mountain, Swamp, Underdark, Urban",0.125,25,MM,284,MM284,Y,"Insectoid, bat-winged bloodsuckers."
Stryx,,Tiny,Monstrosity,,Neutral,"Forest, Urban",0.125,25,TOB,369,TOB369,Y,
Twig Blight,,Small,Plant,,Neutral Evil,Forest,0.125,25,MM,32,MM32,,A shrub tainted by foul magic.
Wharfling,,Tiny,Beast,,Unaligned,Underwater,0.125,25,TOB,407,TOB407,Y,
Xvart,,Small,Humanoid,xvart,Chaotic Evil,"Hills, Underdark",0.125,25,VGM,200,VGM200,,
Aarakocra,,Medium,Humanoid,aarakocra,Neutral Good,Mountain,0.25,50,MM,12,MM12,,Bird people.
Axe Beak,,Large,Beast,,Unaligned,"Grassland, Hills",0.25,50,MM,317,MM317,,"Stout, flightless bird with a powerful beak."
Azza Gremlin,,Small,Fey,,Neutral,Any,0.25,50,TOB,28,TOB28,Y,
Blink Dog,,Medium,Fey,,Lawful Good,Forest,0.25,50,MM,318,MM318,,Teleporting elf-dog.
Boar,,Medium,Beast,,Unaligned,"Forest, Grassland, Hills",0.25,50,MM,319,MM319,,"Big, wooly pig with tusks."
Broom of Animated Attack,,Small,Construct,,Unaligned,Urban,0.25,50,COS,226,COS226,,
Bullywug,,Medium,Humanoid,bullywug,Neutral Evil,Swamp,0.25,50,MM,35,MM35,,Frog-headed amphibious humanoids.
Clurichaun,,Tiny,Fey,,Chaotic Neutral,Urban,0.25,50,TOB,67,TOB67,Y,
Constrictor Snake,,Large,Beast,,Unaligned,"Desert, Forest, Swamp, Underwater",0.25,50,MM,320,MM320,,Snake that entangles and crushes stuff.
Cow,,Large,Beast,,Unaligned,"Grassland, Urban",0.25,50,VGM,207,VGM207,,
Derro,,Small,Humanoid,derro,Chaotic Evil,Underdark,0.25,50,OOTA,224,OOTA224,,
Dimetrodon (Finback),,Medium,Beast,dinosaur/behemoth,Unaligned,"Coastal, Swamp",0.25,50,VGM,139,VGM139,,
Dipsa,,Tiny,Ooze,,Unaligned,Swamp,0.25,50,TOB,118,TOB118,Y,
Draft Horse,,Large,Beast,,Unaligned,Urban,0.25,50,MM,321,MM321,,Stout horses bred for carrying and dragging stuff.
Dretch,,Small,Fiend,demon,Chaotic Evil,Extraplanar (Abyss),0.25,50,MM,57,MM57,Y,Four-foot tall gangly demons.
Drow,,Medium,Humanoid,elf,Neutral Evil,Underdark,0.25,50,MM,128,MM128,Y,Ebon-skinned elves of the Underdark.
Duodrone,,Medium,Construct,,Lawful Neutral,Extraplanar (Mechanus),0.25,50,MM,225,MM225,,Modrons that appear as two stacked boxes with facial features and spindly limbs.
Dust Goblin,,Small,Humanoid,goblin,Neutral Evil,"Desert, Underdark",0.25,50,TOB,232,TOB232,Y,
Elk,,Large,Beast,,Unaligned,"Forest, Grassland, Hills",0.25,50,MM,322,MM322,,"Big, antlered deer."
Erina Scrounger,,Small,Humanoid,erina,Neutral,"Forest, Grassland, Hills",0.25,50,TOB,178,TOB178,Y,
Flying Sword,,Small,Construct,,Unaligned,Any,0.25,50,MM,20,MM20,Y,A sword that dances through the air of its own accord.
Garroter Crab,,Tiny,Beast,,Unaligned,Underwater,0.25,50,TOB,208,TOB208,Y,
Giant Badger,,Medium,Beast,,Unaligned,Forest,0.25,50,MM,323,MM323,,Giant version of a badger.
Giant Bat,,Large,Beast,,Unaligned,"Forest, Underdark",0.25,50,MM,323,MM323,,Giant version of a bat.
Giant Centipede,,Small,Beast,,Unaligned,"Underdark, Urban",0.25,50,MM,323,MM323,,Giant version of a centipede.
Giant Frog,,Medium,Beast,,Unaligned,"Forest, Swamp",0.25,50,MM,325,MM325,,Giant version of a frog.
Giant Lizard,,Large,Beast,,Unaligned,"Coastal, Desert, Forest, Swamp, Underdark",0.25,50,MM,326,MM326,,Giant version of a lizard.
Giant Owl,,Large,Beast,,Neutral,"Arctic, Forest, Hills",0.25,50,MM,327,MM327,,Giant version of an owl.
Giant Poisonous Snake,,Medium,Beast,,Unaligned,"Desert, Forest, Grassland, Swamp, Underdark, Urban",0.25,50,MM,327,MM327,,Giant version of a poisonous snake.
Giant Wolf Spider,,Medium,Beast,,Unaligned,"Coastal, Desert, Forest, Grassland, Hills",0.25,50,MM,330,MM330,,"Enormous, poisonous ambush spiders."
Gnoll Witherling,,Medium,Undead,,Chaotic Evil,"Arctic, Forest, Grassland, Hills",0.25,50,VGM,155,VGM155,,
Goblin,,Small,Humanoid,goblinoid,Neutral Evil,"Forest, Grassland, Hills, Underdark",0.25,50,MM,166,MM166,Y,"Cowardly, runty little disgusting humanoids."
Grimlock,,Medium,Humanoid,grimlock,Neutral Evil,Underdark,0.25,50,MM,175,MM175,Y,"Savage, blind humanoids that live in the Underdark."
Grung,,Small,Humanoid,grung,Lawful Evil,Forest,0.25,50,VGM,156,VGM156,,
Hadrosaurus (Maulhead),,Large,Beast,dinosaur/behemoth,Unaligned,"Grassland, Swamp",0.25,50,VGM,140,VGM140,,
Ixitxachitl,,Small,Aberration,,Chaotic Evil,Underdark,0.25,50,OOTA,225,OOTA225,,
Ixitxachitl Cleric,,Small,Aberration,,Chaotic Evil,Underdark,0.25,50,OOTA,226,OOTA226,,
Kalke,,Small,Fiend,,Neutral Evil,Extraplanar (Lower Planes),0.25,50,TOB,259,TOB259,Y,
Kenku,,Medium,Humanoid,kenku,Chaotic Neutral,"Forest, Urban",0.25,50,MM,194,MM194,,Mischievous little bird-folk that speak through mimicry.
Kobold Inventor,,Small,Humanoid,kobold,Lawful Evil,"Forest, Hills, Mountain, Underdark, Urban",0.25,50,VGM,166,VGM166,,
Kuo-toa,,Medium,Humanoid,kuo-toa,Neutral Evil,Underdark,0.25,50,MM,199,MM199,,Fish-like humanoids common to the Underdark.
Lemurfolk (Kaguani),,Small,Humanoid,lemurfolk,Neutral,Forest,0.25,50,TOB,271,TOB271,Y,
Living Wick,,Small,Construct,,Unaligned,"Underdark, Urban",0.25,50,TOB,278,TOB278,Y,
Male Steeder,,Medium,Beast,,Unaligned,Underdark,0.25,50,OOTA,231,OOTA231,,
Map Mimic,,Tiny,Aberration,shapechanger,Neutral,Underdark,0.25,50,TOB,289,TOB289,Y,
Mongrelfolk,,Medium,Humanoid,mongrelfolk,Any,"Underdark, Urban",0.25,50,COS,234,COS234,,
Mud Mephit,,Small,Elemental,,Neutral Evil,Swamp,0.25,50,MM,216,MM216,,Elemental imp-like creatures made out of mud and ooze.
Needle Blight,,Medium,Plant,,Neutral Evil,Forest,0.25,50,MM,32,MM32,,Humanoid plants tainted with foul magic and bristling with thorns.
Ox,,Large,Beast,,Unaligned,Urban,0.25,50,VGM,208,VGM208,,
Panther,,Medium,Beast,,Unaligned,"Forest, Grassland, Hills",0.25,50,MM,333,MM333,,"Dark-furred, lithe giant felines."
Pixie,,Tiny,Fey,,Neutral Good,Forest,0.25,50,MM,253,MM253,,"Small, winged sylvan fey."
Pseudodragon,,Tiny,Dragon,,Neutral Good,"Coastal, Desert, Forest, Hills, Mountain, Urban",0.25,50,MM,254,MM254,Y,Miniature dragons that often act as familiars and guardians for mages.
Pteranodon (Skinwing),,Medium,Beast,dinosaur/behemoth,Unaligned,"Coastal, Grassland, Mountain",0.25,50,MM,80,MM80,,"Large, winged behemoths."
Ramag,,Medium,Humanoid,ramag,Neutral,"Grassland, Urban",0.25,50,TOB,317,TOB317,Y,
Ratfolk,,Small,Humanoid,ratfolk,Neutral,"Underdark, Urban",0.25,50,TOB,320,TOB320,Y,
Red-Banded Line Spider,,Tiny,Beast,,Unaligned,Any,0.25,50,TOB,363,TOB363,Y,
Riding Horse,,Large,Beast,,Unaligned,"Grassland, Urban",0.25,50,MM,336,MM336,,Horses bred for riding.
Roachling Skirmisher,,Small,Humanoid,roachling,Chaotic Neutral,"Underdark, Urban",0.25,50,TOB,329,TOB329,Y,
Rothe,,Large,Beast,,Unaligned,"Grassland, Underdark",0.25,50,VGM,208,VGM208,,
Shadow Fey Elf,,Medium,Humanoid,elf,Lawful Evil,Any,0.25,50,TOB,171,TOB171,Y,
Skeleton,,Medium,Undead,,Lawful Evil,Urban,0.25,50,MM,272,MM272,Y,Humanoid skeletons animated via necromantic magic to serve as guardians.
Smoke Mephit,,Small,Elemental,,Neutral Evil,Urban,0.25,50,MM,217,MM217,,Imp-like elementals made of solidified smoke.
Sprite,,Tiny,Fey,,Neutral Good,Forest,0.25,50,MM,283,MM283,Y,"Tiny, winged fey."
Steam Mephit,,Small,Elemental,,Neutral Evil,Underwater,0.25,50,MM,217,MM217,Y,Elemental imp-like creatures made of steam.
Stench Kow,,Large,Beast,,Unaligned,Extraplanar (Lower Planes),0.25,50,VGM,208,VGM208,,
Suturefly,,Tiny,Beast,,Unaligned,"Forest, Swamp",0.25,50,TOB,372,TOB372,Y,
Swamp Adder Snake,,Small,Beast,,Unaligned,Swamp,0.25,50,TOB,354,TOB354,Y,
Swarm of Bats,,Medium,Beast,,Unaligned,"Hills, Mountain, Underdark, Urban",0.25,50,MM,337,MM337,,Aggressive swarm of flying rodents.
Swarm of Rats,,Medium,Beast,,Unaligned,"Swamp, Urban",0.25,50,MM,339,MM339,,"Wave of aggressive, biting rodents."
Swarm of Ravens,,Medium,Beast,,Unaligned,"Forest, Hills, Swamp, Urban",0.25,50,MM,339,MM339,,"An aggressive, giant flock of black-birds."
Treacle,,Tiny,Ooze,,Unaligned,"Forest, Grassland, Urban",0.25,50,TOB,387,TOB387,Y,
Troglodyte,,Medium,Humanoid,troglodyte,Chaotic Evil,Underdark,0.25,50,MM,290,MM290,,Musk-emitting savage lizardy fish-folk.
Vegepygmy,,Small,Plant,,Neutral,"Forest, Swamp",0.25,50,VGM,196,VGM196,,
Velociraptor (Swarm Drake),,Tiny,Beast,dinosaur/behemoth,Unaligned,"Forest, Grassland",0.25,50,VGM,140,VGM140,,
Violet Fungus,,Medium,Plant,,Unaligned,Underdark,0.25,50,MM,138,MM138,Y,Mobile fungus whose tentacles cause rotting.
Winged Kobold,,Small,Humanoid,kobold,Lawful Evil,"Arctic, Coastal, Desert, Forest, Hills, Mountain, Swamp, Underdark, Urban",0.25,50,MM,195,MM195,,"Called urds, these kobolds have dragon-like wings."
Witchlight,,Tiny,Construct,,Neutral,Any,0.25,50,TOB,409,TOB409,Y,
Wolf,,Medium,Beast,,Unaligned,"Forest, Grassland, Hills",0.25,50,MM,341,MM341,,"Wild, fluffy canines."
Xanka,,Small,Construct,,Unaligned,Any,0.25,50,TOB,411,TOB411,Y,
Zombie,,Medium,Undead,,Neutral Evil,Urban,0.25,50,MM,316,MM316,Y,Rotting corpses reanimated with necromantic magic.
Alehouse Drake,,Tiny,Dragon,,Chaotic Neutral,Urban,0.5,100,TOB,148,TOB148,Y,
Alseid,,Medium,Monstrosity,,Chaotic Neutral,Forest,0.5,100,TOB,15,TOB15,Y,
Ambush Drake,,Medium,Dragon,,Unaligned,,0.5,100,HDQ,88,HDQ88,,
Ape,,Medium,Beast,,Unaligned,Forest,0.5,100,MM,317,MM317,,Hairy humanoid mammals that have rudimentary tool-using skills.
Beggar Ghoul,,Medium,Undead,,Chaotic Evil,"Underdark, Urban",0.5,100,TOB,213,TOB213,Y,
Black Bear,,Medium,Beast,,Unaligned,Forest,0.5,100,MM,318,MM318,,Smaller member of the cute-looking but dangerous bear family.
Bone Crab,,Small,Beast,,Neutral,Underwater,0.5,100,TOB,40,TOB40,Y,
Bucca,,Tiny,Fey,,Neutral Evil,Any,0.5,100,TOB,46,TOB46,Y,
Burrowling,,Small,Humanoid,burrowling,Lawful Neutral,Grassland,0.5,100,TOB,49,TOB49,Y,
Chitine,,Small,Monstrosity,,Chaotic Evil,Underdark,0.5,100,VGM,131,VGM131,,
Clockwork Beetle,,Tiny,Construct,,Unaligned,Any,0.5,100,TOB,60,TOB60,Y,
Clockwork Watchman,,Medium,Construct,,Unaligned,Urban,0.5,100,TOB,65,TOB65,Y,
Cockatrice,,Small,Monstrosity,,Unaligned,Grassland,0.5,100,MM,42,MM42,Y,A lizard-bird-bat ostrich with a petrifying gaze.
Crocodile,,Large,Beast,,Unaligned,"Swamp, Urban",0.5,100,MM,320,MM320,,A waddling log of reptily scariness with about a billion teeth and very strong jaws.
Darkling,,Small,Fey,,Chaotic Neutral,"Forest, Swamp, Underdark, Urban",0.5,100,VGM,134,VGM134,,
Darkmantle,,Small,Monstrosity,,Unaligned,Underdark,0.5,100,MM,46,MM46,Y,"Creepy, ceiling-dwelling Underdark squids that drop on people."
Duergar Spore Servant,,Medium,Plant,,Unaligned,Underdark,0.5,100,OOTA,229,OOTA229,,
Dust Mephit,,Small,Elemental,,Neutral Evil,Desert,0.5,100,MM,215,MM215,Y,Imp-like elemental creature formed of dust and grime.
Empty Cloak,,Medium,Construct,,Unaligned,Any,0.5,100,TOB,176,TOB176,Y,
Firenewt Warrior,,Medium,Humanoid,firenewt,Neutral Evil,"Desert, Hills, Mountain, Underdark",0.5,100,VGM,142,VGM142,,
Fraughashar,,Small,Fey,,Neutral Evil,Any,0.5,100,TOB,206,TOB206,Y,
Gas Spore,,Large,Plant,,Unaligned,Underdark,0.5,100,MM,138,MM138,,Hovering gas-filled plant matter that looks like a beholder from afar.
Gazer,,Tiny,Aberration,beholder,Neutral Evil,Underdark,0.5,100,VGM,126,VGM126,,
Giant Goat,,Large,Beast,,Unaligned,"Grassland, Hills, Mountain",0.5,100,MM,326,MM326,,Giant version of a goat.
Giant Sea Horse,,Large,Beast,,Unaligned,Underwater,0.5,100,MM,328,MM328,,Giant version of a sea horse.
Giant Wasp,,Medium,Beast,,Unaligned,"Forest, Grassland, Urban",0.5,100,MM,329,MM329,,Giant version of a wasp.
Gnoll,,Medium,Humanoid,gnoll,Chaotic Evil,"Desert, Forest, Grassland, Hills",0.5,100,MM,163,MM163,Y,Demon-worshipping hyena-people.
Gnoll Hunter,,Medium,Humanoid,gnoll,Chaotic Evil,"Arctic, Forest, Grassland, Hills",0.5,100,VGM,154,VGM154,,
Gray Ooze,,Medium,Ooze,,Unaligned,Underdark,0.5,100,MM,243,MM243,Y,A corrosive pool of oily grossness.
Hobgoblin,,Medium,Humanoid,goblinoid,Lawful Evil,"Desert, Forest, Grassland, Hills, Underdark",0.5,100,MM,186,MM186,Y,"Highly militarized, human-sized goblinoids."
Ice Mephit,,Small,Elemental,,Neutral Evil,Arctic,0.5,100,MM,215,MM215,Y,Elemental imp-like creature made of ice.
Jackalwere,,Medium,Humanoid,shapechanger,Chaotic Evil,"Desert, Grassland",0.5,100,MM,193,MM193,,Shapechanging human-jackal hybrid with a sleep-inducing gaze.
Lantern Dragonette,,Tiny,Dragon,,Lawful Neutral,Forest,0.5,100,TOB,270,TOB270,Y,
Library Automaton,,Small,Construct,,Lawful Neutral,Urban,0.5,100,TOB,273,TOB273,Y,
Lizardfolk,,Medium,Humanoid,lizardfolk,Neutral,"Forest, Swamp",0.5,100,MM,204,MM204,Y,Primitive humanoids with reptilian features.
Magma Mephit,,Small,Elemental,,Neutral Evil,Underdark,0.5,100,MM,216,MM216,Y,Elemental imp-like creature made of magma.
Magmin,,Small,Elemental,,Chaotic Neutral,Extraplanar (Elemental),0.5,100,MM,212,MM212,Y,Short humanoid-looking elementals wreathed in flames.
Miremal,,Small,Fey,,Chaotic Evil,Swamp,0.5,100,TOB,292,TOB292,Y,
Morphoi,,Medium,Plant,,Chaotic Evil,Underwater,0.5,100,TOB,297,TOB297,Y,
Myconid Adult,,Medium,Plant,,Lawful Neutral,Underdark,0.5,100,MM,232,MM232,,Fungus-folk that communicate and trip out via spores.
Nkosi,,Medium,Humanoid,"shapechanger, nkosi",Lawful Neutral,Grassland,0.5,100,TOB,306,TOB306,Y,
Orc,,Medium,Humanoid,orc,Chaotic Evil,"Arctic, Forest, Grassland, Hills, Mountain, Swamp, Underdark",0.5,100,MM,246,MM246,Y,Bloodthirsty tribal humanoids with stooped features and piggish faces.
Orc Nurtured One of Yurtrus,,Medium,Humanoid,orc,Chaotic Evil,"Forest, Grassland, Hills, Mountain, Underdark",0.5,100,VGM,184,VGM184,,
Piercer,,Medium,Monstrosity,,Unaligned,Underdark,0.5,100,MM,252,MM252,,"Looks like a stalactite, impales like a spear."
Ravenfolk Scout,,Medium,Humanoid,kenku,Neutral,"Forest, Hills, Urban",0.5,100,TOB,322,TOB322,Y,
Reef Shark,,Medium,Beast,,Unaligned,Underwater,0.5,100,MM,336,MM336,,Shallow-water shark.
Rum Gremlin,,Tiny,Fey,,Chaotic Evil,Underwater,0.5,100,TOB,239,TOB239,Y,
Rust Monster,,Medium,Monstrosity,,Unaligned,Underdark,0.5,100,MM,262,MM262,Y,Big bug whose prehensile antennae cause metal to rust.
Sahuagin,,Medium,Humanoid,sahuagin,Lawful Evil,"Coastal, Underwater",0.5,100,MM,263,MM263,Y,Well-organized yet savage fish-people that hate aquatic elves and lizardfolk.
Satyr,,Medium,Fey,,Chaotic Neutral,Forest,0.5,100,MM,267,MM267,Y,Goat-legged humanoids with fey ancestry.
Shadow,,Medium,Undead,,Chaotic Evil,"Underdark, Urban",0.5,100,MM,269,MM269,Y,Strength-draining undead spirits made of shadow.
Skin Bat,,Small,Undead,,Neutral Evil,Any,0.5,100,TOB,87,TOB87,Y,
Svirfneblin,,Small,Humanoid,gnome,Neutral Good,Underdark,0.5,100,MM,164,MM164,Y,Deep gnomes reside in the Underdark.
Swarm of Insects,,Medium,Beast,,Unaligned,"Desert, Forest, Grassland, Hills, Swamp, Underdark, Urban",0.5,100,MM,338,MM338,,Aggressive swarm of flesh-eating or stinging bugs.
Swarm of Rot Grubs,,Medium,Beast,,Unaligned,"Swamp, Underdark",0.5,100,VGM,208,VGM208,,
Tosculi Drone,,Small,Monstrosity,,Lawful Evil,"Desert, Grassland, Hills",0.5,100,TOB,386,TOB386,Y,
Tridrone,,Medium,Construct,,Lawful Neutral,Extraplanar (Mechanus),0.5,100,MM,225,MM225,,Pyramid-shaped modrons with gangly limbs.
Vine Blight,,Medium,Plant,,Neutral Evil,Forest,0.5,100,MM,32,MM32,,A mass of vines and creepers given evil life through foul magic.
War Ostrich,,Large,Beast,,Unaligned,"Desert, Grassland",0.5,100,TOB,307,TOB307,Y,
Warhorse,,Large,Beast,,Unaligned,Urban,0.5,100,MM,340,MM340,,Stout horses bred and trained for battle.
Warhorse Skeleton,,Large,Undead,,Lawful Evil,Any,0.5,100,MM,273,MM273,Y,The reanimated skeleton of a warhorse.
Worg,,Large,Monstrosity,,Neutral Evil,"Forest, Grassland, Hills",0.5,100,MM,341,MM341,,"An intelligent, wolf-like predator that delights in hunting and eating the weak."
Worker Amphoron of Yothri,,Small,Construct,,Neutral,Any,0.5,100,FEF,9,FEF9,,
Animated Armor,,Medium,Construct,,Unaligned,Any,1,200,MM,19,MM19,Y,A suit of armor with a life of its own.
Bastet Temple Cat,,Small,Beast,,Chaotic Neutral,Urban,1,200,TOB,32,TOB32,Y,
Boloti,,Tiny,Fey,,Neutral Evil,Swamp,1,200,TOB,38,TOB38,Y,
Brass Dragon Wyrmling,,Medium,Dragon,,Chaotic Good,Desert,1,200,MM,106,MM106,Y,Urbane and talkative dragons of good alignment.
Broodiken,,Tiny,Construct,,Neutral,Any,1,200,TOB,45,TOB45,Y,
Brown Bear,,Large,Beast,,Unaligned,"Arctic, Forest, Hills",1,200,MM,319,MM319,,"Big, territorial, strong-as-all-get-out grizzly bear."
Bugbear,,Medium,Humanoid,goblinoid,Chaotic Evil,"Forest, Grassland, Underdark",1,200,MM,33,MM33,Y,"The big bullies of goblinkind, born for battle and mayhem."
Chernomoi,,Tiny,Fey,,Neutral,Urban,1,200,TOB,55,TOB55,Y,
Child of the Briar,,Tiny,Plant,,Neutral Evil,Forest,1,200,TOB,56,TOB56,Y,
Clockwork Weaving Spider,,Tiny,Construct,,Unaligned,Urban,1,200,TOB,66,TOB66,Y,
Copper Dragon Wyrmling,,Medium,Dragon,,Chaotic Good,Hills,1,200,MM,112,MM112,Y,Cunning tricksters and riddlers of the metallic dragons
Crag Cat,,Large,Beast,,Unaligned,,1,200,SKT,240,SKT240,,
Crimson Drake,,Tiny,Dragon,,Chaotic Evil,Forest,1,200,TOB,151,TOB151,Y,
Death Dog,,Medium,Monstrosity,,Neutral Evil,Desert,1,200,MM,321,MM321,,Disease-ridden two-headed dog.
